시도,주차장명,주차장유형,주소,위도,경도,관리기관,전화번호(주차장관리자),추가 연락처,20.09.30.(수),20.10.01.(목),20.10.02.(금),20.10.03.(토),20.10.04.(일),특이사항
부산광역시,가락동 행정복지센터,부설,부산광역시 강서구 가락대로 1476(죽림동),35.196387,128.901807,가락동 행정복지센터,051-970-2954,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,녹산동 행정복지센터,부설,부산광역시 강서구 가락대로 900번가길 32(범방동),35.15332,128.883741,녹산동 행정복지센터,051-970-4621,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,강서브라이트센터제2부설,부설,부산광역시 강서구 공항로 811번가길 30-1(대저2동),35.178649,128.956676,부산시 강서구청,051-970-4152,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,차단기 있음
부산광역시,강서 브라이트센터,부설,부산광역시 강서구 공항로 811번길 10(대저2동),35.180181,128.957009,부산시 강서구청,051-970-4152,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,차단기 있음
부산광역시,강서구청,부설,부산광역시 강서구 낙동북로 477(대저1동),35.212938,128.980565,부산시 강서구청,051-970-4152,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,차단기 있음
부산광역시,대저1동 행정복지센터,부설,부산광역시 강서구 대저로 221번길 19,35.215407,128.976747,대저1동 행정복지센터,051-970-4409,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,대항공영주차장,노외,부산광역시 강서구 대항동 산13-26,35.01185,128.830059,부산시 강서구청,051-970-4562,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,가덕도동 행정복지센터,부설,부산광역시 강서구 동선길 10(성북동),35.05691,128.832319,가덕도동 행정복지센터,051-970-4637,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,명지중앙상가 공영주차장,노상,부산광역시 강서구 명지동 3282,35.084555,128.903976,부산시 강서구청,051-970-4562,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,명지2동 행정복지센터,부설,부산광역시 강서구 명지오션시티 11로 35(명지동),35.084543,128.900048,명지2동 행정복지센터,051-970-2988,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,녹산산단공영주차장,노외,부산광역시 강서구 송정동 1759,35.08393,128.84034,부산시 강서구청,051-970-4562,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,차단기 있음
부산광역시,명지1동 행정복지센터,부설,부산광역시 강서구 영강길 19번길 58(명지동),35.108058,128.92655,명지1동 행정복지센터,051-970-4924,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,강동동 행정복지센터,부설,부산광역시 강서구 제도로 1171(강동동),35.214544,128.935449,강동동 행정복지센터,051-970-2932,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,외양포 전망대 주차장,노외,부산광역시 강서구 대항동 산13-29번지 일원,35.006998,128.826679,부산시 강서구청,051-970-4562,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,지양곡 공영주차장,노외,부산광역시 강서구 천성동 270-2번지 일원,35.02181,128.822795,부산시 강서구청,051-970-4562,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,행복마을 공영주차장,노외,부산광역시 강서구 명지동 3254-7,35.086691,128.910362,부산시 강서구청,051-970-4562,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,금정구민운동장,노외,부산광역시 금정구 두구동 1482-2,35.272201,129.098851,금정구청 총무과,051-519-4126,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
